doc_id,doc_type,reference,role,nrc_adams_accession,source_url,filename
RG 3.67,RG,RG 3.67,distractor,ML103360487,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML103360487,RG 3.67 (ML103360487).pdf
RG 5.31,RG,RG 5.31,distractor,ML003740081,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML003740081,RG 5.31 (ML003740081).pdf
RG 6.4,RG,RG 6.4,distractor,ML003739536,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML003739536,RG 6.4 (ML003739536).pdf
RG 7.12,RG,RG 7.12,distractor,ML003739424,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML003739424,RG 7.12 (ML003739424).pdf
RG 7.6,RG,RG 7.6,distractor,ML003739418,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML003739418,RG 7.6 (ML003739418).pdf
RG 8.4,RG,RG 8.4,distractor,ML101900087,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML101900087,RG 8.4 (ML101900087).pdf
SRP 15.2.6,SRP,SRP 15.2.6,distractor,ML070550008,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070550008,SRP 15.2.6 (ML070550008).pdf
SRP 15.6.2,SRP,SRP 15.6.2,distractor,ML052350147,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052350147,SRP 15.6.2 (ML052350147).pdf
SRP 15.6.3,SRP,SRP 15.6.3,distractor,ML052350149,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052350149,SRP 15.6.3 (ML052350149).pdf
SRP 15.6.4,SRP,SRP 15.6.4,distractor,ML052350151,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052350151,SRP 15.6.4 (ML052350151).pdf
SRP 19.2,SRP,SRP 19.2,distractor,ML071700658,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML071700658,SRP 19.2 (ML071700658).pdf
SRP 2.1.2,SRP,SRP 2.1.2,distractor,ML052070216,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052070216,SRP 2.1.2 (ML052070216).pdf
SRP 2.1.2,SRP,SRP 2.1.2,distractor,ML052340545,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052340545,SRP 2.1.2 (ML052340545).pdf
SRP 2.3.1,SRP,SRP 2.3.1,distractor,ML053570372,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML053570372,SRP 2.3.1 (ML053570372).pdf
SRP 2.4.6,SRP,SRP 2.4.6,distractor,ML052340543,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052340543,SRP 2.4.6 (ML052340543).pdf
SRP 2.4.7,SRP,SRP 2.4.7,distractor,ML052070249,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052070249,SRP 2.4.7 (ML052070249).pdf
SRP 2.4.9,SRP,SRP 2.4.9,distractor,ML052340551,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052340551,SRP 2.4.9 (ML052340551).pdf
SRP 2.5.3,SRP,SRP 2.5.3,distractor,ML070730597,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070730597,SRP 2.5.3 (ML070730597).pdf
SRP 3.4.1,SRP,SRP 3.4.1,distractor,ML052070304,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML052070304,SRP 3.4.1 (ML052070304).pdf
SRP 3.4.1,SRP,SRP 3.4.1,distractor,ML070550043,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070550043,SRP 3.4.1 (ML070550043).pdf
SRP 3.8.1,SRP,SRP 3.8.1,distractor,ML100620888,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML100620888,SRP 3.8.1 (ML100620888).pdf
SRP 3.9.6,SRP,SRP 3.9.6,distractor,ML16134A116,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML16134A116,SRP 3.9.6 (ML16134A116).pdf
SRP 4.4,SRP,SRP 4.4,distractor,ML070550060,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070550060,SRP 4.4 (ML070550060).pdf
SRP 4.5.1,SRP,SRP 4.5.1,distractor,ML070230007,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070230007,SRP 4.5.1 (ML070230007).pdf
SRP 5.4.6,SRP,SRP 5.4.6,distractor,ML070540102,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070540102,SRP 5.4.6 (ML070540102).pdf
SRP 8.3.2,SRP,SRP 8.3.2,distractor,ML100740391,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML100740391,SRP 8.3.2 (ML100740391).pdf
SRP 9.4.3,SRP,SRP 9.4.3,distractor,ML070550039,https://adams.nrc.gov/wba/services/idmws/doccontent/objstore?objectStoreName=MainLibrary&id=ML070550039,SRP 9.4.3 (ML070550039).pdf
