src,dst,reference_type,weight,example_query_ids
DSRS 3.8.4,RG 1.206,methodology_guidance,5,nuscale_0054_easy_000;nuscale_0054_hard_002;nuscale_0055_easy_000
DSRS 3.8.4,RG 1.221,methodology_guidance,2,nuscale_0053_hard_002;nuscale_0055_medium_001
DSRS 3.8.4,SRP 2.5.2,lateral_cross_reference,1,nuscale_0036_hard_002
DSRS 3.8.4,SRP 3.9.2,lateral_cross_reference,1,nuscale_0053_medium_001
DSRS 4.4 (section fallback),10 CFR Part 50,normative_basis,6,nuscale_0131_easy_000;nuscale_0132_easy_000;nuscale_0133_easy_000
DSRS 4.4 (section fallback),RG 1.68,methodology_guidance,6,nuscale_0131_easy_000;nuscale_0132_easy_000;nuscale_0133_easy_000
DSRS 4.4 (section fallback),SRP 14.2,lateral_cross_reference,7,nuscale_0133_easy_000;nuscale_0134_easy_000;nuscale_0135_medium_000
DSRS 5.2.4 (section fallback),10 CFR Part 50,normative_basis,14,nuscale_0153_easy_000;nuscale_0153_medium_001;nuscale_0153_hard_002
DSRS 5.2.4 (section fallback),RG 1.147,methodology_guidance,10,nuscale_0153_easy_000;nuscale_0153_hard_002;nuscale_0154_medium_000
DSRS 5.2.5 (section fallback),10 CFR Part 50,normative_basis,2,nuscale_0159_easy_000;nuscale_0159_medium_001
DSRS 5.2.5 (section fallback),RG 1.29,methodology_guidance,2,nuscale_0159_easy_000;nuscale_0159_medium_001
DSRS 5.2.5 (section fallback),RG 1.45,methodology_guidance,2,nuscale_0159_easy_000;nuscale_0159_medium_001
DSRS 5.3.1 (section fallback),10 CFR Part 50,normative_basis,7,nuscale_0160_easy_000;nuscale_0161_easy_000;nuscale_0161_medium_001
DSRS 5.3.1 (section fallback),RG 1.28,methodology_guidance,3,nuscale_0160_easy_000;nuscale_0161_medium_001;nuscale_0161_hard_002
DSRS 5.3.1 (section fallback),RG 1.44,methodology_guidance,3,nuscale_0160_easy_000;nuscale_0161_medium_001;nuscale_0161_hard_002
DSRS 5.3.1 (section fallback),RG 1.50,methodology_guidance,2,nuscale_0160_easy_000;nuscale_0161_medium_001
DSRS 5.3.1 (section fallback),RG 1.65,methodology_guidance,2,nuscale_0162_medium_001;nuscale_0163_easy_000
DSRS 5.4.7 (section fallback),10 CFR Part 50,normative_basis,11,nuscale_0164_easy_000;nuscale_0164_medium_001;nuscale_0165_easy_000
DSRS 5.4.7 (section fallback),DSRS 14.2,lateral_cross_reference,3,nuscale_0167_medium_001;nuscale_0168_medium_001;nuscale_0168_hard_002
DSRS 5.4.7 (section fallback),DSRS 6.2.4,lateral_cross_reference,1,nuscale_0165_medium_001
DSRS 5.4.7 (section fallback),DSRS 6.3 (section fallback),lateral_cross_reference,1,nuscale_0166_medium_001
DSRS 5.4.7 (section fallback),RG 1.26,methodology_guidance,3,nuscale_0164_easy_000;nuscale_0166_easy_000;nuscale_0167_medium_001
DSRS 5.4.7 (section fallback),RG 1.29,methodology_guidance,2,nuscale_0164_easy_000;nuscale_0166_easy_000
DSRS 5.4.7 (section fallback),RG 1.68,methodology_guidance,1,nuscale_0168_hard_002
DSRS 5.4.7 (section fallback),SRP 14.3.10,lateral_cross_reference,1,nuscale_0167_medium_001
DSRS 6.2.1 (section fallback),10 CFR Part 50,normative_basis,8,nuscale_0169_easy_000;nuscale_0171_easy_000;nuscale_0172_easy_000
DSRS 6.2.1 (section fallback),RG 1.143,methodology_guidance,1,nuscale_0174_easy_000
DSRS 6.2.1 (section fallback),RG 1.183,methodology_guidance,1,nuscale_0174_easy_000
DSRS 6.2.1 (section fallback),RG 1.71,methodology_guidance,1,nuscale_0174_easy_000
DSRS 6.2.1 (section fallback),SRP 3.9.3,lateral_cross_reference,1,nuscale_0172_easy_000
DSRS 6.2.2 (section fallback),10 CFR Part 50,normative_basis,13,nuscale_0178_medium_000;nuscale_0178_medium_001;nuscale_0179_easy_000
DSRS 6.2.2 (section fallback),RG 1.82,methodology_guidance,13,nuscale_0178_medium_000;nuscale_0178_medium_001;nuscale_0179_easy_000
DSRS 6.2.4,10 CFR Part 50,normative_basis,13,nuscale_0184_easy_000;nuscale_0184_medium_001;nuscale_0184_hard_002
DSRS 6.2.4,RG 1.155,methodology_guidance,6,nuscale_0185_easy_000;nuscale_0185_medium_001;nuscale_0185_hard_002
DSRS 6.2.4,RG 1.26,methodology_guidance,6,nuscale_0185_easy_000;nuscale_0185_medium_001;nuscale_0185_hard_002
DSRS 6.2.4,RG 1.29,methodology_guidance,6,nuscale_0185_easy_000;nuscale_0185_medium_001;nuscale_0185_hard_002
DSRS 6.2.5 (section fallback),10 CFR Part 50,normative_basis,17,nuscale_0189_medium_000;nuscale_0189_medium_001;nuscale_0190_medium_000
DSRS 6.2.5 (section fallback),RG 1.216,methodology_guidance,9,nuscale_0189_medium_000;nuscale_0189_medium_001;nuscale_0191_easy_000
DSRS 6.2.5 (section fallback),SRP 14.3.10,lateral_cross_reference,2,nuscale_0192_medium_001;nuscale_0192_hard_002
DSRS 6.2.5 (section fallback),SRP 19.0,lateral_cross_reference,2,nuscale_0189_medium_001;nuscale_0192_hard_002
DSRS 6.2.6 (section fallback),10 CFR Part 50,normative_basis,29,nuscale_0197_medium_000;nuscale_0197_medium_001;nuscale_0198_easy_000
DSRS 6.2.6 (section fallback),RG 1.163,methodology_guidance,28,nuscale_0197_medium_000;nuscale_0197_medium_001;nuscale_0198_easy_000
DSRS 6.3 (section fallback),10 CFR Part 50,normative_basis,1,nuscale_0212_medium_000
DSRS 6.3 (section fallback),DSRS 14.2,lateral_cross_reference,1,nuscale_0212_medium_001
DSRS 6.3 (section fallback),RG 1.68,methodology_guidance,2,nuscale_0212_medium_000;nuscale_0212_medium_001
DSRS 6.3 (section fallback),RG 1.82,methodology_guidance,1,nuscale_0166_medium_001
DSRS 6.6 (section fallback),10 CFR Part 50,normative_basis,3,nuscale_0224_easy_000;nuscale_0224_medium_001;nuscale_0224_hard_002
DSRS 6.6 (section fallback),RG 1.147,methodology_guidance,3,nuscale_0224_easy_000;nuscale_0224_medium_001;nuscale_0224_hard_002
DSRS 6.6 (section fallback),SRP 13.2.2,lateral_cross_reference,1,nuscale_0224_medium_001
DSRS 8.3.2 (section fallback),10 CFR Part 50,normative_basis,6,nuscale_0233_easy_000;nuscale_0234_easy_000;nuscale_0235_easy_000
DSRS 8.3.2 (section fallback),DSRS 3.11,lateral_cross_reference,3,nuscale_0236_easy_000;nuscale_0236_medium_001;nuscale_0236_hard_002
DSRS 8.3.2 (section fallback),DSRS 8.1 (section fallback),lateral_cross_reference,1,nuscale_0236_hard_002
DSRS 8.3.2 (section fallback),RG 1.32,methodology_guidance,2,nuscale_0233_easy_000;nuscale_0236_hard_002
DSRS 8.4,10 CFR Part 50,normative_basis,6,nuscale_0237_easy_000;nuscale_0237_medium_001;nuscale_0237_hard_002
DSRS 8.4,RG 1.155,methodology_guidance,6,nuscale_0237_easy_000;nuscale_0237_medium_001;nuscale_0237_hard_002
DSRS 8.4,SRP 14.3.10,lateral_cross_reference,1,nuscale_0238_hard_002
DSRS 8.4,SRP 19.3,lateral_cross_reference,4,nuscale_0237_easy_000;nuscale_0237_medium_001;nuscale_0237_hard_002
DSRS 9.3.4,10 CFR Part 50,normative_basis,6,nuscale_0269_medium_000;nuscale_0269_medium_001;nuscale_0270_easy_000
DSRS 9.3.4,RG 1.26,methodology_guidance,6,nuscale_0269_medium_000;nuscale_0269_medium_001;nuscale_0270_easy_000
DSRS 9.3.4,RG 1.29,methodology_guidance,5,nuscale_0269_medium_000;nuscale_0269_medium_001;nuscale_0270_easy_000
DSRS 9.3.4,RG 4.21,methodology_guidance,5,nuscale_0269_medium_000;nuscale_0269_medium_001;nuscale_0270_easy_000
DSRS 9.3.6 (section fallback),10 CFR Part 50,normative_basis,9,nuscale_0272_easy_000;nuscale_0272_medium_001;nuscale_0272_hard_002
DSRS 9.3.6 (section fallback),RG 1.29,methodology_guidance,8,nuscale_0272_easy_000;nuscale_0272_medium_001;nuscale_0272_hard_002
DSRS 9.3.6 (section fallback),SRP 17.5,lateral_cross_reference,1,nuscale_0276_hard_002
RG 1.100,RG 1.29,lateral_cross_reference,1,nuscale_0126_easy_000
RG 1.100,SRP 3.7.2,lateral_cross_reference,1,nuscale_0094_hard_002
RG 1.143,10 CFR Part 50,normative_basis,1,nuscale_0063_medium_001
RG 1.145,RG 1.23,lateral_cross_reference,1,levy_0350_easy_000
RG 1.147,RG 1.84,methodology_guidance,1,nuscale_0224_hard_002
RG 1.183,RG 1.145,methodology_guidance,1,nuscale_0310_hard_002
RG 1.183,SRP 15.0.3,lateral_cross_reference,5,nuscale_0306_medium_001;nuscale_0307_easy_000;nuscale_0309_easy_000
RG 1.183,SRP 2.3.4,lateral_cross_reference,1,nuscale_0310_hard_002
RG 1.198,RG 1.138,lateral_cross_reference,1,levy_0448_easy_000
RG 1.198,RG 1.138,methodology_guidance,1,levy_0454_easy_000
RG 1.20,RG 1.100,methodology_guidance,2,nuscale_0088_easy_000;nuscale_0094_easy_000
RG 1.20,RG 1.61,lateral_cross_reference,1,nuscale_0093_medium_001
RG 1.20,SRP 13.2.1,lateral_cross_reference,1,nuscale_0090_easy_000
RG 1.206,10 CFR Part 50,normative_basis,2,levy_0491_medium_000;levy_0491_medium_001
RG 1.206,RG 1.145,lateral_cross_reference,3,nuscale_0010_easy_000;levy_0355_easy_000;levy_0359_easy_000
RG 1.206,RG 1.194,lateral_cross_reference,2,nuscale_0010_easy_000;levy_0359_easy_000
RG 1.206,SRP 2.4.12,lateral_cross_reference,1,levy_0443_easy_000
RG 1.206,SRP 2.5.1,lateral_cross_reference,1,levy_0439_easy_000
RG 1.216,RG 1.57,methodology_guidance,3,nuscale_0189_medium_000;nuscale_0189_medium_001;nuscale_0195_medium_000
RG 1.23,RG 4.21,lateral_cross_reference,1,levy_0345_medium_001
RG 1.29,RG 1.100,methodology_guidance,5,nuscale_0088_medium_001;nuscale_0091_easy_000;nuscale_0094_medium_001
RG 1.29,RG 1.143,methodology_guidance,1,nuscale_0272_hard_002
RG 1.29,RG 1.32,methodology_guidance,1,nuscale_0272_hard_002
RG 1.29,RG 1.68,lateral_cross_reference,1,nuscale_0089_medium_001
RG 1.29,RG 1.97,methodology_guidance,1,nuscale_0091_easy_000
RG 1.29,SRP 13.2.2,lateral_cross_reference,1,nuscale_0257_easy_000
RG 1.32,RG 1.155,lateral_cross_reference,1,nuscale_0323_easy_000
RG 1.32,RG 1.61,methodology_guidance,1,nuscale_0233_easy_000
RG 1.33,RG 1.28,methodology_guidance,1,levy_0493_medium_001
RG 1.45,RG 1.97,methodology_guidance,1,nuscale_0159_easy_000
RG 1.57,RG 1.29,methodology_guidance,1,nuscale_0046_medium_001
RG 1.57,RG 1.84,methodology_guidance,2,nuscale_0046_medium_000;nuscale_0051_easy_000
RG 1.59,RG 1.143,methodology_guidance,3,levy_0367_easy_000;levy_0368_easy_000;levy_0368_medium_001
RG 1.59,SRP 13.2.1,lateral_cross_reference,1,levy_0379_medium_001
RG 1.61,SRP 3.7.2,lateral_cross_reference,2,nuscale_0022_easy_000;nuscale_0033_medium_001
RG 1.68,10 CFR Part 50,normative_basis,1,nuscale_0212_medium_001
RG 1.68,RG 1.160,methodology_guidance,2,nuscale_0132_easy_000;nuscale_0135_medium_001
RG 1.68,RG 1.29,methodology_guidance,1,nuscale_0131_easy_000
RG 1.84,10 CFR Part 50,normative_basis,1,nuscale_0282_medium_000
RG 1.84,RG 1.44,methodology_guidance,1,nuscale_0282_medium_000
RG 1.97,RG 1.100,methodology_guidance,3,nuscale_0126_easy_000;nuscale_0126_hard_002;nuscale_0128_easy_000
RG 1.97,RG 1.145,methodology_guidance,1,levy_0483_medium_000
RG 1.97,RG 1.32,methodology_guidance,1,nuscale_0323_easy_000
RG 1.97,RG 1.53,methodology_guidance,1,nuscale_0126_hard_002
SRP 10.2,10 CFR Part 50,normative_basis,2,nuscale_0281_easy_000;nuscale_0281_medium_001
SRP 10.2,RG 1.68,methodology_guidance,2,nuscale_0281_easy_000;nuscale_0281_medium_001
SRP 10.3.6,10 CFR Part 50,normative_basis,11,nuscale_0283_easy_000;nuscale_0283_medium_001;nuscale_0283_hard_002
SRP 10.3.6,RG 1.50,methodology_guidance,3,nuscale_0284_easy_000;nuscale_0284_hard_002;nuscale_0287_easy_000
SRP 10.3.6,RG 1.71,methodology_guidance,7,nuscale_0283_hard_002;nuscale_0284_easy_000;nuscale_0284_hard_002
SRP 10.3.6,RG 1.84,methodology_guidance,9,nuscale_0282_medium_000;nuscale_0283_hard_002;nuscale_0284_easy_000
SRP 10.3.6,SRP 5.2.3,lateral_cross_reference,2,nuscale_0282_medium_000;nuscale_0282_medium_001
SRP 10.4.1,10 CFR Part 50,normative_basis,11,nuscale_0288_easy_000;nuscale_0288_medium_001;nuscale_0288_hard_002
SRP 10.4.1,SRP 11.3,lateral_cross_reference,8,nuscale_0288_easy_000;nuscale_0288_medium_001;nuscale_0288_hard_002
SRP 10.4.1,SRP 14.3.10,lateral_cross_reference,3,nuscale_0288_medium_001;nuscale_0290_medium_001;nuscale_0291_medium_001
SRP 10.4.5,10 CFR Part 50,normative_basis,8,nuscale_0293_easy_000;nuscale_0293_medium_001;nuscale_0293_hard_002
SRP 10.4.5,SRP 13.2.2,lateral_cross_reference,1,nuscale_0295_medium_001
SRP 10.4.5,SRP 3.7.1,lateral_cross_reference,2,nuscale_0294_medium_001;nuscale_0295_medium_001
SRP 10.4.5,SRP 8.3.1,lateral_cross_reference,2,nuscale_0294_medium_001;nuscale_0295_medium_001
SRP 10.4.6,10 CFR Part 50,normative_basis,2,nuscale_0296_easy_000;levy_0460_easy_000
SRP 11.2,10 CFR Part 50,normative_basis,6,nuscale_0302_easy_000;nuscale_0302_hard_002;levy_0461_medium_000
SRP 11.2,RG 1.143,methodology_guidance,7,nuscale_0302_easy_000;nuscale_0302_medium_001;nuscale_0302_hard_002
SRP 11.2,RG 4.21,methodology_guidance,5,nuscale_0302_easy_000;nuscale_0302_hard_002;levy_0461_medium_001
SRP 11.2,SRP 10.4.1,lateral_cross_reference,1,levy_0463_medium_001
SRP 11.2,SRP 2.4.1,lateral_cross_reference,3,levy_0392_easy_000;levy_0406_easy_000;levy_0463_medium_000
SRP 11.2,SRP 2.4.12,lateral_cross_reference,2,levy_0406_easy_000;levy_0407_easy_000
SRP 11.2,SRP 3.3.1,lateral_cross_reference,2,nuscale_0302_medium_001;levy_0405_medium_000
SRP 11.2,SRP 3.4.2,lateral_cross_reference,1,nuscale_0302_medium_001
SRP 11.2,SRP 3.7.1,lateral_cross_reference,1,nuscale_0302_medium_001
SRP 11.3,10 CFR Part 50,normative_basis,2,levy_0464_medium_000;levy_0464_medium_001
SRP 11.3,RG 1.143,methodology_guidance,4,nuscale_0288_easy_000;nuscale_0288_hard_002;nuscale_0289_medium_001
SRP 11.3,RG 4.21,methodology_guidance,3,nuscale_0288_easy_000;nuscale_0288_hard_002;nuscale_0289_medium_001
SRP 11.4,10 CFR Part 50,normative_basis,1,levy_0466_easy_000
SRP 11.4,RG 1.143,methodology_guidance,2,levy_0465_easy_000;levy_0466_easy_000
SRP 11.4,RG 4.21,methodology_guidance,2,levy_0465_easy_000;levy_0466_easy_000
SRP 11.4,SRP 11.2,lateral_cross_reference,1,levy_0466_easy_000
SRP 13.1.1,10 CFR Part 50,normative_basis,16,nuscale_0318_easy_000;nuscale_0318_medium_001;nuscale_0318_hard_002
SRP 13.1.1,RG 1.206,methodology_guidance,2,levy_0468_easy_000;levy_0471_easy_000
SRP 13.1.1,RG 1.8,methodology_guidance,15,nuscale_0318_easy_000;nuscale_0318_medium_001;nuscale_0318_hard_002
SRP 13.1.1,SRP 13.2.1,lateral_cross_reference,5,nuscale_0319_hard_002;levy_0468_easy_000;levy_0469_easy_000
SRP 13.1.1,SRP 13.3,lateral_cross_reference,1,levy_0469_easy_000
SRP 13.1.1,SRP 13.5.1,lateral_cross_reference,2,nuscale_0319_hard_002;levy_0470_easy_000
SRP 13.2.2,10 CFR Part 50,normative_basis,3,nuscale_0320_easy_000;nuscale_0320_medium_001;nuscale_0320_hard_002
SRP 13.2.2,RG 1.8,methodology_guidance,5,nuscale_0320_easy_000;nuscale_0320_medium_001;nuscale_0320_hard_002
SRP 13.2.2,SRP 13.2.1,lateral_cross_reference,2,nuscale_0320_medium_001;nuscale_0320_hard_002
SRP 13.2.2,SRP 13.5.1,lateral_cross_reference,2,nuscale_0224_medium_001;nuscale_0320_hard_002
SRP 13.3,10 CFR Part 50,normative_basis,31,nuscale_0321_easy_000;nuscale_0322_medium_000;nuscale_0322_medium_001
SRP 13.3,RG 1.206,methodology_guidance,1,levy_0482_medium_001
SRP 13.3,RG 1.23,methodology_guidance,2,nuscale_0323_hard_002;levy_0483_medium_000
SRP 13.3,RG 1.97,methodology_guidance,5,nuscale_0322_medium_000;nuscale_0323_easy_000;nuscale_0323_hard_002
SRP 13.3,SRP 13.2.2,lateral_cross_reference,2,levy_0486_medium_000;levy_0486_medium_001
SRP 13.3,SRP 13.6,lateral_cross_reference,1,levy_0484_easy_000
SRP 13.5.1,10 CFR Part 50,normative_basis,2,levy_0493_easy_000;levy_0493_medium_001
SRP 13.5.1,RG 1.33,methodology_guidance,2,levy_0493_easy_000;levy_0493_medium_001
SRP 13.6,10 CFR Part 50,normative_basis,1,levy_0495_easy_000
SRP 14.2,RG 1.68,methodology_guidance,2,nuscale_0324_easy_000;nuscale_0325_medium_001
SRP 14.3.10,RG 1.143,methodology_guidance,1,nuscale_0291_medium_001
SRP 14.3.10,RG 1.206,methodology_guidance,1,nuscale_0288_medium_001
SRP 15.0.3,RG 1.68,methodology_guidance,1,nuscale_0137_easy_000
SRP 15.0.3,SRP 2.3.4,lateral_cross_reference,1,nuscale_0309_hard_002
SRP 15.4.8,SRP 14.2,lateral_cross_reference,1,nuscale_0143_medium_000
SRP 16.0,10 CFR Part 50,normative_basis,1,nuscale_0216_medium_001
SRP 17.5,RG 1.28,methodology_guidance,1,nuscale_0073_medium_000
SRP 19.3,RG 1.61,methodology_guidance,1,nuscale_0237_hard_002
SRP 19.3,RG 1.8,methodology_guidance,1,nuscale_0278_easy_000
SRP 19.3,SRP 10.3.6,lateral_cross_reference,2,nuscale_0266_easy_000;nuscale_0266_medium_001
SRP 19.3,SRP 2.4.1,lateral_cross_reference,1,nuscale_0237_medium_001
SRP 2.3.1,10 CFR Part 50,normative_basis,38,nuscale_0000_medium_000;nuscale_0000_medium_001;nuscale_0001_easy_000
SRP 2.3.1,RG 1.206,methodology_guidance,2,nuscale_0006_easy_000;levy_0337_easy_000
SRP 2.3.1,RG 1.76,methodology_guidance,34,nuscale_0001_easy_000;nuscale_0001_medium_001;nuscale_0001_hard_002
SRP 2.3.2,10 CFR Part 50,normative_basis,2,levy_0342_medium_000;levy_0342_medium_001
SRP 2.3.2,RG 1.206,methodology_guidance,2,levy_0342_medium_000;levy_0342_medium_001
SRP 2.3.2,RG 1.23,methodology_guidance,6,nuscale_0013_easy_000;levy_0342_medium_000;levy_0342_medium_001
SRP 2.3.2,RG 1.76,methodology_guidance,4,nuscale_0012_medium_001;nuscale_0012_hard_002;nuscale_0014_medium_000
SRP 2.3.3,10 CFR Part 50,normative_basis,2,levy_0343_easy_000;levy_0345_hard_002
SRP 2.3.3,RG 1.23,methodology_guidance,8,levy_0343_easy_000;levy_0344_easy_000;levy_0345_easy_000
SRP 2.3.3,SRP 2.3.4,lateral_cross_reference,2,levy_0347_easy_000;levy_0354_easy_000
SRP 2.3.3,SRP 2.3.5,lateral_cross_reference,1,levy_0347_easy_000
SRP 2.3.4,10 CFR Part 50,normative_basis,4,nuscale_0009_easy_000;nuscale_0009_hard_002;levy_0351_easy_000
SRP 2.3.4,RG 1.145,methodology_guidance,11,nuscale_0009_easy_000;nuscale_0009_medium_001;nuscale_0009_hard_002
SRP 2.3.4,RG 1.194,methodology_guidance,7,nuscale_0009_medium_001;levy_0350_easy_000;levy_0351_easy_000
SRP 2.3.4,RG 1.23,methodology_guidance,9,nuscale_0009_easy_000;nuscale_0009_medium_001;nuscale_0009_hard_002
SRP 2.3.4,RG 1.78,methodology_guidance,7,nuscale_0009_easy_000;nuscale_0009_medium_001;nuscale_0009_hard_002
SRP 2.3.4,SRP 2.3.3,lateral_cross_reference,1,levy_0353_medium_001
SRP 2.3.5,10 CFR Part 50,normative_basis,5,nuscale_0010_medium_001;nuscale_0010_hard_002;nuscale_0011_hard_002
SRP 2.3.5,RG 1.145,lateral_cross_reference,1,levy_0347_easy_000
